Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC29HKS3HB7J4PJHATE
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC2A9JJBMC1047DF5SK
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC2HWC4P2GAV8GV6ERG
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC2Z797WQVW410RD0YZ
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC2ZGDFZKAK27GRXNPZ
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC3CHWG243G8XDGZBKA
prod_01KFYY2RR2SFSV25K1NDKKNMMF,buttercrossants,Flaky Butter Croissants,published,https://target.scene7.com/is/image/Target/GUEST_1aa784f1-8037-4590-b1dd-2f02f568e9f9?wid=1200&hei=1200&qlt=80,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC496YMZH780NWWSP44
prod_01KFYY2RR2SFSV25K1NDKKNMMF,buttercrossants,Flaky Butter Croissants,published,https://target.scene7.com/is/image/Target/GUEST_1aa784f1-8037-4590-b1dd-2f02f568e9f9?wid=1200&hei=1200&qlt=80,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC49KE832FPFPCEWRVH
prod_01KFYY2RR2SFSV25K1NDKKNMMF,buttercrossants,Flaky Butter Croissants,published,https://target.scene7.com/is/image/Target/GUEST_1aa784f1-8037-4590-b1dd-2f02f568e9f9?wid=1200&hei=1200&qlt=80,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC4KDHVSYZ0SMYB4YBX
prod_01KFYY2RR2SFSV25K1NDKKNMMF,buttercrossants,Flaky Butter Croissants,published,https://target.scene7.com/is/image/Target/GUEST_1aa784f1-8037-4590-b1dd-2f02f568e9f9?wid=1200&hei=1200&qlt=80,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC4M4AG1XSKYTJ49YSG
prod_1234,goatribs,Goat Ribs,published,https://target.scene7.com/is/image/Target/GUEST_6ea45c7d-6d82-4d38-8169-1d410b5d88ff?qlt=85&fmt=webp&hei=500&wid=500,,variant_01KG4TM6WR5PMWGXYHRY0C2JSE
prod_1235,goatmilk,Raw Goat Milk,published,https://storage.googleapis.com/grazecart-images-prod/images/c2090711-6ef7-46ef-aa2e-72beef6467ab.jpg,,variant_01KG4TM6WSMGW110VA68W5T47H
