REQ_ID,Requirement_Name,Business_Objective_Summary,Key_Functional_Tasks_Summary,Data_Integration_Notes,UnifiedCommerce_Assessment,Fitment_Classification,Functionality_Gaps,Notes
REQ-11,"Surveys, Ratings & Reviews","SurveyMonkey triggers; native product reviews; CRM tags","Triggers: cancel; post-delivery +1h push; hidden fields (customer; order; driver; subscription); webhooks to CRM/DW; native star+text on PLP/PDP","SurveyMonkey API/SDK; webhooks on completion","Not integrated","Customization","All survey flows; product review widget; CRM tagging","Third-party heavy"
REQ-12,Loyalty & Referral Program,"Clip the Deal; referral codes; FOC reporting; wallet promotional credit","Real-time Clip the Deal API with cart; referral code generation; referee/referrer on delivered; FOC cost report; ledger type promotional credit","Ledger distinct from cash top-up","Not present","Customization","External loyalty API; referral engine; finance FOC reports","Integration program"
REQ-13,Customer Onboarding (Corporate & Fazaa),"Domain whitelist + OTP; Fazaa OCR/API; expiry cron","Corporate: domain list + email OTP → customer group. Fazaa: OCR/API; store expiry; daily cron revert to retail + notify","Document storage; cron","Signup extensible; no domain/Fazaa automation","Customization","Domain rules; OTP; card scan; expiry downgrade job","Identity + compliance"
REQ-14,Flexible Delivery Scheduling & Time-Slots,"Paid slots; capacity; express; validate vs route","Admin slots (standard/morning/express fees); capacity per slot/route; grey out full; subscription preferred day/time vs journey plan","Slot master tied to routes/capacity","Generic checkout; no slot/capacity engine","Customization","Slot config; capacity counters; dynamic fees; route validation","Ops scheduling"
REQ-15,Simple Re-order & One-Tap Repeat,"Buy again last 3 SKUs; saved baskets","Widget home + success; fetch last 3 unique SKUs; add to cart; save/restore named basket","Uses order history","Storefront can implement from orders API","Partial fitment","UI widgets; persistent saved baskets if not in storefront","Lower effort partial"
REQ-16,Inventory & Stock Visibility,"Core vs merch; OOS override; notify me","Core SKUs skip inventory check; merch real-time; admin force OOS per region/warehouse; notify-me + batch on restock","Batch notifications","Medusa inventory modules exist","Partial fitment","SKU flags; forced OOS; back-in-stock notification pipeline","Config + jobs"
REQ-17,Analytics & Admin Dashboard (Power BI),"DW; ETL; star schema; 5–7 PBI dashboards; RLS; alerts","ETL: commerce; SurveyMonkey; GA; SAP; warehousing; dashboards: exec; funnel; ops; subs; tech health; alerts; RLS by branch; daily + hourly","Multiple sources","Operational services + admin UI only; no PBI/DW in repo","Customization","Full data platform; PBI; RLS; anomaly alerts","Enterprise analytics"
REQ-18,Order Shipment Management,"Split shipments by vehicle/warehouse; one order multi delivery","Rules: vehicle capability; warehouse location; customer UX shipment 1 of 2; invoice consolidated or per shipment","Fulfillment payloads","Medusa multiple fulfillments possible with rules","Partial fitment","Automated split rules; customer messaging; invoice policy per BRD","Workflow customization"
REQ-19,Field Sales Attribution & Welcome Offers,"Batch rep codes; new-user fraud; attribute on paid; reporting","Master offer; batch codes per rep; fraud: phone; device; card hash; cart field; lock attribution on paid; CSV export; device SDK","Attribution table; mobile SDK","Promotions exist; no rep/fraud/attribution model","Customization","Code generation; fraud engine; rep dashboard; exports","Growth + risk"
REQ-20,WhatsApp Commerce & Service Bot,"Conversational commerce; reorder; track; wallet; handoff CRM","MSISDN match/OTP; interactive messages; reorder; track; pause; top-up; empty bottle log; pay links; templates; human handoff; Twilio BSP; webhooks","BSP; webhooks to OMS; CRM; wallet","Not in repo","Customization","Full WhatsApp + payment + OMS integration","Separate product"
REQ-21,Bonus AI Use Cases,"AI for CAC; churn; AOV; productivity per BRD list","Lookalike; dynamic onboarding; churn model; consumption alerts; retention offers; NBA; dynamic bundles; AI routing; forecast; NLP support bot","ML pipelines; model ops","Not implemented as features","Customization","Each use case is a program of work","Beyond platform"
